,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
prevents_inverse,2.8856375,-0.22572215,-2.4710057,-3.2315795,-1.0475008,0.73001814,-1.3515047,-1.420239,-1.7287852,0.55295,-0.73647314,0.24891908,-0.124820985,1.5155674,1.3249646,-0.013053291,-3.8766577,0.93253356,-3.914553,2.7650943,-3.7706764,-4.816514,-0.5745833,0.3413138,-0.52555895,4.033316,-1.8393196,2.8834379,-0.2828275,5.4440613,-6.0659065,-2.909881
causes_inverse,0.008925346,-0.9824316,-0.47474056,-0.65609765,1.4138894,-0.118909255,-2.2942514,-1.0508446,-1.8345195,-1.9514822,1.0114003,-1.748833,-1.8196399,1.1769091,-0.7167907,-4.4177284,1.1006491,-4.7506757,-2.3485897,1.2992517,-2.3448005,-0.20341013,-2.423166,1.5821149,-1.6157994,2.0829716,0.19436483,-0.19469437,-3.0427115,-2.0175025,-2.095588,-1.510289
indicates_inverse,-0.42915562,0.56726855,0.8822355,-2.9455328,-0.8659473,1.329641,-2.6533318,2.3407483,-0.9512794,-0.21707131,0.025151838,-0.81392294,0.7592184,-0.46018264,-2.171864,0.6317151,2.0850291,1.3107054,-0.7567847,-0.22675797,-2.9105709,0.6923388,4.8041625,-3.1603403,-0.389473,-8.0277605,-0.44146758,3.7900314,-0.7017312,0.9819765,1.8413152,-1.5780133
treats_inverse,0.13464142,0.117692836,-2.8959603,-3.4357412,1.0608877,-1.0468822,-1.6024556,-1.0898974,-1.9382156,1.0901806,-0.19117297,-1.3266944,1.2025882,-0.82933486,0.059837554,-0.8365516,-1.4484084,6.18009,-6.1034665,6.0924544,0.052453335,-4.5604486,-0.1841262,-3.8382623,-0.031781044,5.7396345,-2.1698291,0.014865964,2.2592623,1.7844588,-6.66042,-1.2191528
evaluation_of_inverse,0.13288313,1.0634398,0.38871342,-1.6252902,-0.95741814,-0.117911264,-4.09781,1.5463886,-2.1509833,-0.77752846,-0.25326192,-0.9673783,-0.8117742,-1.0254028,-0.28035513,0.26682937,0.41513604,5.2441354,0.90100294,-2.9280486,-3.547635,2.3575218,3.069284,-1.6494142,3.184302,-1.7507186,4.656088,3.1344762,1.4136924,2.3057775,0.27885634,-0.4020125
diagnoses_inverse,-0.11429756,0.2959316,0.5650199,-3.0647404,-0.5696074,-1.108065,-2.7175047,2.4185262,0.5694584,-1.9255601,0.49139974,0.17302698,2.7660136,0.4202065,-0.22202307,0.52883464,-2.3606148,-0.7455917,-0.1592308,0.019761492,-1.6245203,-2.9360802,-1.7645783,3.7545726,10.155926,-0.47387528,-5.010649,1.3803434,2.8362925,3.3999608,-4.706055,-2.211646
exhibits_inverse,0.061845604,-2.1844416,0.07078838,-2.7956378,-7.0115056,-0.5399969,-2.1705215,2.0352757,0.5774292,0.0746376,-1.1063983,-1.3982916,-0.51350176,-0.83780324,-3.0134683,-2.6106248,4.3278656,-9.027591,3.54034,-0.86656183,1.1270725,3.3429482,2.0333848,0.75958484,2.3010192,5.0549836,3.0452976,0.44210798,-3.6087327,1.5468597,-4.6486154,5.1308813
ingredient_of_inverse,0.83926743,-0.07555692,-1.6521019,-1.6500188,-3.3151207,-1.2848569,-0.2224115,0.8532764,0.7694553,-3.4051228,1.8073275,-1.6922454,1.2426625,1.7774909,-0.77609926,-0.5731613,-0.87519276,-0.12819101,-2.5134215,3.0842545,2.4469874,0.38096377,-1.0968337,-2.4507167,-2.5801165,-12.567192,-2.3650546,4.029131,-6.4989324,2.8301616,1.7521509,-0.608368
property_of_inverse,-0.8169009,-0.38696766,-0.83767843,-1.9188348,3.554022,1.1821555,-1.7813286,-0.4333021,-2.6543431,-0.86015934,1.618067,0.29588696,-0.6404635,0.8489335,-1.1723864,0.8455924,2.7946327,-0.45581272,-2.4164567,1.5295116,-1.1551292,0.6961549,1.8219329,-0.3941255,2.0014515,2.251926,-0.9828304,1.6742939,-1.0113877,-2.0857453,0.27204832,-0.6158084
manages_inverse,-1.0613161,0.06297523,-1.4929582,-1.7825245,1.6803209,0.03984501,-2.262559,-2.7883744,-1.7738332,1.3774676,0.04825484,0.48951393,0.43449628,-2.1434581,-0.33957922,0.1785642,-2.8193595,-0.80971265,-1.6145496,0.23094487,-3.0206788,-2.4759743,1.7117441,-4.07278,2.4633121,-5.7078357,-2.3722174,1.3441838,-0.4872095,1.3225104,-1.3155798,2.5720603
assesses_effect_of_inverse,-2.618877,-0.73206514,-1.5437937,-3.7087042,-0.25423124,0.16443044,-1.5684431,-0.7674916,-0.20269439,-0.1333302,1.926191,0.32134825,0.43375334,0.6611206,-1.2902329,-0.16563869,3.1016784,-0.4794956,-2.0339613,-0.33678374,-1.3189994,-0.8043467,-1.1621532,-0.43351623,3.7842402,-2.1317563,-3.51127,-0.6030908,-3.1281238,0.5987045,-1.7037469,-2.128359
method_of_inverse,-1.1615009,-0.022495154,-3.594013,-1.9919736,0.20639108,-1.691829,-2.4187875,-0.31378013,-1.7966074,-0.7993381,4.6524405,-0.21056318,-0.35376456,-0.8406135,-1.2525954,2.5281134,4.259511,5.720817,6.4489584,1.0270716,1.754177,-1.307148,-3.023539,-1.4595336,0.50905323,-0.20403992,-1.3825427,0.4091868,6.7665057,-0.6856771,-3.4827938,-0.6515403
measurement_of_inverse,-2.5323477,1.2425942,0.6670033,-1.6994842,1.3417965,-0.28830534,-1.2809114,1.3445089,-3.3630917,-0.021234494,0.64436984,-0.7264916,0.63301194,-0.05588224,-2.4838932,-0.5532111,3.787893,-3.3632374,-0.105074696,-3.0555568,2.4090722,1.3696024,1.9062732,-1.7645591,3.2940702,-1.894564,-2.1689236,-2.0991974,2.1840842,1.6160086,2.796883,0.52159184
precedes_inverse,-0.825842,-0.7527972,-0.31057355,-2.315062,0.6576746,0.35287073,-1.7191089,-0.08578658,-2.366656,-1.0462153,-0.22172654,1.3805554,0.2068817,2.4160392,-1.4263662,1.220068,2.6428194,-2.199869,4.09595,-0.7506321,-1.4052144,-2.3742876,1.8184845,-0.03585508,-0.45315725,-1.6025041,0.47370896,3.4872031,0.7984714,-1.8295631,-4.7584434,1.1041794
consists_of_inverse,-0.511149,0.73842615,-1.7432961,-1.8317865,1.0922979,-0.030197082,-3.276226,2.2113776,-1.3960314,-0.40997007,0.7271745,-0.6043711,-0.44150525,-0.22863194,-3.199015,0.73875415,2.0279834,-0.03361913,2.9143746,2.7721422,6.926426,4.1184983,-1.9158897,0.57365507,-2.795647,-1.2340943,4.2087417,-4.424417,-0.20492955,-5.1085277,-3.2182498,1.0795534
performs_inverse,0.57774943,-0.47608876,-1.2417754,-1.8031465,0.48455235,0.008668636,-2.4749513,-0.17455027,-2.2262511,-2.1689088,-1.244969,-0.4383747,0.6254578,-1.9423882,-2.6648402,-0.051860854,0.26275232,-0.0799753,4.7246947,2.9652438,3.3790727,8.649434,-1.3729732,0.60060453,2.9652574,1.6275522,-3.3344543,2.429628,-6.034589,-3.386641,-0.7522644,4.2522173
conceptual_part_of_inverse,-1.8777957,-0.91498244,-1.9611317,-1.1051093,-0.3591105,0.31361347,-1.3904896,0.9123305,-3.2210615,0.29334795,1.9949344,0.6580092,-1.1488628,0.7842717,-0.7797349,0.88211584,0.5100253,9.423631,2.392776,0.59884447,-0.67418647,2.1786504,2.354928,-3.800004,-3.795495,-0.7047019,8.219626,-1.0809188,4.264644,0.7105723,-1.7900448,3.280006
analyzes_inverse,-2.0971298,-0.2466572,-0.8704538,-2.6968637,0.9085792,-0.49471155,-1.0129544,0.90243685,-1.1892204,-2.2806041,-0.9267155,-0.8881838,0.51254064,0.56544286,-2.992969,-0.6341716,4.5646715,2.2664177,2.4753153,-1.3990097,-4.060083,-0.93797696,-1.748257,-5.285761,3.4718103,1.1660917,0.6925325,0.05979193,2.1341076,-0.10548699,-3.1022627,1.9015813
carries_out_inverse,-1.2250175,-0.43466774,-1.1213372,-1.7444856,0.025246749,0.26452354,-1.1971723,-0.21554536,-1.9438076,-3.7702591,2.1127522,0.72259927,0.06643585,-1.6978487,-1.5829798,2.3158514,-6.7429004,-1.3238624,2.1161346,-1.0286207,6.654662,2.4142823,-2.2386587,-0.507313,2.3205025,-0.48016354,-0.6830419,-3.4450464,-1.7863975,-1.4797217,3.753283,4.4811954
developmental_form_of_inverse,0.31628585,-0.07068683,-1.589794,-1.8738924,-1.5105205,0.39040548,-2.0984247,0.5899571,-2.794579,0.21270376,-1.5494604,0.38565695,-0.025239043,-0.2626619,-1.5109128,-2.87275,2.1259727,-0.7287769,1.463864,1.436896,1.5989232,-3.2084508,-0.0052708657,2.7573938,-3.2997265,-0.6720221,-9.064933,0.5143888,0.24866314,-2.2312877,-0.50987333,4.319538
contains_inverse,0.6720604,-1.8943791,0.17731157,-1.7247157,0.36690304,-0.6895202,-3.1442788,0.06696404,-1.9053102,-1.7341073,-1.1679736,0.58205515,0.7412233,-0.5963582,-0.4080264,0.39263806,-3.7166724,-3.9100468,3.8802662,2.6804745,-5.8545094,6.314505,1.1644276,1.5226473,-2.0429611,3.6679645,-4.435166,-5.0014763,2.9805892,-2.5736802,-2.7538424,0.8163878
adjacent_to_inverse,0.21808556,-0.7577649,-2.4854,-1.8381766,-0.11713603,-0.51966804,-2.0493393,0.10364531,-1.4654527,-2.7221208,-0.79897875,-0.89465946,-0.75354606,-0.9189659,-2.3625708,0.35713342,2.0068586,4.6527233,0.43627277,0.12961066,2.2872994,0.6188997,2.582182,5.8382525,-0.7348985,2.4645128,5.4796352,-2.3061361,7.6400585,-3.9327023,-1.8189695,5.752574
interconnects_inverse,-1.0412323,-1.7190026,-2.2810874,-0.7283487,0.30468357,0.76922935,-1.6369358,0.16339177,-2.433048,-1.1154997,-0.04840499,-0.55774033,1.0068802,-0.45686847,-1.0891855,-0.703883,0.5662807,0.5009751,2.2092545,5.0962467,0.47283292,6.194759,2.3839777,1.1660008,-1.9698856,1.0974053,-2.9414296,-0.7422418,2.1704843,-2.6953945,-0.69274426,5.420249
conceptually_related_to_inverse,-0.0030993493,-3.7554543,0.30886674,-1.6332098,-2.5348635,-1.0432519,-1.397562,2.2485979,-3.4386246,-0.9204713,0.79511905,-1.859569,0.982733,0.8562081,-1.4941369,0.62966555,-2.3324664,-1.4494916,-0.5111941,2.0215743,3.5609105,-2.8765388,2.6988995,-1.887267,3.4415543,1.9002241,1.384029,2.3850312,1.5665455,-0.2075589,0.7675362,2.8498075
surrounds_inverse,-1.9610121,-1.4644493,-1.7079183,-1.8463182,0.26870573,0.9080812,-1.5737284,0.9844844,-2.9982257,-0.33621484,-0.0773711,-0.20595355,-0.971624,-0.44468504,0.11348267,-0.62171453,-3.3644395,1.6098323,0.26703084,3.5162458,-1.6727492,-0.44240397,0.6757276,-3.7568543,-3.421514,-1.7413424,-0.41535202,-0.6552365,-4.5844884,-1.3667834,-3.8821743,7.4839697
derivative_of_inverse,-0.73222315,-0.8282021,-0.7329693,-0.049429845,1.0678282,0.13153747,-1.8558229,0.6209185,-2.1022675,-2.1390903,1.4303436,0.10743637,0.0027540214,-0.94274974,-3.1196523,-0.60951906,-0.51741743,-1.737923,-3.6763976,4.2169538,-4.2319846,-1.295893,0.010344954,-0.21358941,-1.3791015,-1.0155764,0.2208013,0.68000084,0.04332724,-1.7356726,-2.1841822,1.5116203
practices_inverse,-1.8793277,-1.2507075,-0.21881324,-0.75322455,-0.057923924,0.18148486,-2.4022002,-0.5389787,-1.7762147,-1.8194525,2.1797175,0.90061027,-1.8565977,-0.7197638,-1.7084335,0.7685224,-1.4669019,-1.4777626,-1.2922095,3.9255714,-5.100718,-1.2881345,-2.4401643,-1.7934328,0.7601725,-0.49053636,1.6537236,1.0112216,-1.0010974,-0.9711462,-0.13776906,-1.130456
